1,1.0,1.0,0.0,0.0,0.0
2,3.0,3.0,2.0,3.0,3.0
3,5.0,5.0,5.0,4.0,5.0
4,7.0,7.0,6.0,6.0,7.0
5,7.0,8.0,7.0,8.0,8.0
6,0.0,1.0,1.0,0.0,1.0
7,3.0,2.0,2.0,2.0,3.0
8,4.0,4.0,4.0,5.0,5.0
9,6.0,6.0,6.0,7.0,6.0
10,8.0,8.0,8.0,7.0,7.0
11,0.0,1.0,0.0,0.0,0.0
12,3.0,3.0,2.0,2.0,3.0
13,5.0,5.0,5.0,4.0,5.0
14,7.0,6.0,7.0,7.0,7.0
15,8.0,7.0,8.0,8.0,7.0
16,1.0,1.0,1.0,0.0,1.0
17,2.0,2.0,2.0,2.0,3.0
18,5.0,5.0,5.0,5.0,5.0
19,6.0,6.0,6.0,7.0,6.0
20,7.0,7.0,8.0,7.0,7.0
21,1.0,1.0,1.0,1.0,1.0
22,3.0,2.0,3.0,2.0,3.0
23,5.0,5.0,5.0,5.0,5.0
24,6.0,7.0,7.0,7.0,7.0
25,7.0,8.0,7.0,8.0,7.0
26,1.0,0.0,0.0,1.0,1.0
27,2.0,2.0,3.0,2.0,3.0
28,4.0,5.0,4.0,4.0,4.0
29,6.0,7.0,7.0,6.0,6.0
30,7.0,7.0,8.0,7.0,8.0
31,1.0,1.0,1.0,0.0,1.0
32,2.0,2.0,3.0,3.0,2.0
33,5.0,5.0,5.0,4.0,5.0
34,7.0,7.0,6.0,6.0,7.0
35,8.0,7.0,8.0,7.0,8.0
36,1.0,0.0,0.0,1.0,0.0
37,3.0,2.0,3.0,2.0,2.0
38,5.0,4.0,4.0,4.0,5.0
39,6.0,7.0,6.0,7.0,6.0
40,8.0,7.0,7.0,7.0,7.0
41,0.0,0.0,0.0,0.0,0.0
42,3.0,2.0,3.0,2.0,2.0
43,5.0,5.0,5.0,4.0,5.0
44,6.0,7.0,7.0,6.0,6.0
45,7.0,8.0,7.0,8.0,7.0
46,1.0,0.0,0.0,1.0,1.0
47,2.0,3.0,2.0,3.0,2.0
48,4.0,4.0,4.0,4.0,4.0
49,7.0,7.0,7.0,7.0,7.0
50,7.0,7.0,7.0,7.0,8.0
